particle_id,area_pixels,area_um2,diameter_um,overlap_area_pixels,overlap_area_um2,overlap_percentage,has_fluorescence,centroid_x,centroid_y,centroid_x_um,centroid_y_um
332,219.0,2.6255530127527504,1.8283757607875213,0,0.0,0.0,False,951.6255707762557,528.7808219178082,104.19681443378997,57.89806292465754
333,34.0,0.40762010243650004,0.7204151814413337,0,0.0,0.0,False,961.9117647058823,526.7058823529412,105.32308580882354,57.67087052941177
334,50.0,0.5994413271125001,0.8736317315826855,0,0.0,0.0,False,964.42,525.5,105.59772127000001,57.53883425
335,151.0,1.8103128078797501,1.5182100827398846,0,0.0,0.0,False,628.9735099337748,527.3708609271523,68.86851100993378,57.743681360927155
336,70.0,0.8392178579575,1.033695005018127,0,0.0,0.0,False,967.6571428571428,526.4428571428572,105.95216737142857,57.64207097857144
337,167.0,2.0021340325557504,1.596620250438425,0,0.0,0.0,False,972.6107784431138,531.0479041916168,106.49455826946108,58.1462936976048
338,222.0,2.6615194923795005,1.8408562862920714,0,0.0,0.0,False,980.9684684684685,537.8828828828829,107.40967100225225,58.89467943693694
339,648.0,7.768759599378001,3.1450742336976676,648,7.768759599378001,100.0,True,1058.3317901234568,535.8055555555555,115.88045186188273,58.66722559722223
340,18.0,0.21579887776050002,0.5241790389496113,0,0.0,0.0,False,252.77777777777777,537.8888888888889,27.677523611111113,58.895337055555565
341,9.0,0.10789943888025001,0.3706505529971175,9,0.10789943888025001,100.0,True,1074.0,538.0,117.59601900000001,58.907503000000005
342,33.0,0.39563127589425,0.7097417738886351,0,0.0,0.0,False,242.87878787878788,538.5757575757576,26.593648560606063,58.970544712121225
343,25.0,0.29972066355625004,0.6177509216618626,0,0.0,0.0,False,248.6,539.16,27.2200841,59.03451546
344,31.0,0.37165362280975006,0.6878983133468638,0,0.0,0.0,False,237.41935483870967,540.0967741935484,25.995876129032258,59.1370861451613
345,1867.0,22.383139154380753,5.338454636565487,0,0.0,0.0,False,9.494911622924478,543.8430637386181,1.0396311057846814,59.547280499464385
346,3911.0,46.888300606739755,7.726580001393293,182,2.1819664306895,4.6535412937867555,False,128.86934287905908,526.8435182817693,14.110355394528256,57.68594076898491
347,78.0,0.9351284702955001,1.0911656830142393,0,0.0,0.0,False,113.35897435897436,558.5769230769231,12.41207085897436,61.160542326923085
348,312.0,3.7405138811820002,2.1823313660284787,0,0.0,0.0,False,19.951923076923077,551.8525641025641,2.184605889423077,60.424268727564105
349,79.0,0.9471172968377501,1.0981380586413054,0,0.0,0.0,False,111.26582278481013,556.367088607595,12.182884367088608,60.918579816455704
350,770.0,9.231396437532501,3.42837847930967,0,0.0,0.0,False,182.66753246753248,543.9324675324675,20.00090746623377,59.55706963376623
351,241.0,2.88930719668225,1.918014645330879,0,0.0,0.0,False,23.46887966804979,549.4896265560166,2.56968977593361,60.1655424253112
352,79.0,0.9471172968377501,1.0981380586413054,0,0.0,0.0,False,109.18987341772151,554.4050632911392,11.955581405063292,60.70375079746835
353,321.0,3.8484133200622503,2.2135835253246703,0,0.0,0.0,False,27.02492211838006,546.006230529595,2.9590533099688474,59.784133202492214
354,97.0,1.1629161745982501,1.216828196875234,0,0.0,0.0,False,106.73195876288659,550.2268041237113,11.686455726804123,60.24625857731959
